sample_id,date,feature_name,location,code,pcs/m,quantity,parent_boundary,length,groupname,city,feature_type
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G1,0.0,0,rhone,30,food and drink,Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G10,0.07,2,rhone,30,food and drink,Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G100,0.3,9,rhone,30,waste water,Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G101,0.0,0,rhone,30,personal items,Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G102,0.0,0,rhone,30,personal items,Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G103,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G104,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G105,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G106,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G107,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G108,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G109,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G11,0.0,0,rhone,30,recreation,Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G111,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G112,1.4,42,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G113,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G114,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G115,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G116,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G117,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G118,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G119,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G12,0.0,0,rhone,30,personal items,Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G122,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
"('tiger-duck-beach', '2021-10-07')",2021-10-07,lac-leman,tiger-duck-beach,G123,0.0,0,rhone,30,micro plastics (< 5mm),Saint-Sulpice (VD),l
