sample_id,date,feature_name,location,code,pcs/m,quantity,parent_boundary,length,groupname,city,feature_type,canton
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G48,0.0,0,ticino,73.0,recreation,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G170,0.0,0,ticino,73.0,agriculture,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G709,0.0,0,ticino,73.0,recreation,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G100,0.0,0,ticino,73.0,waste water,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G204,0.0,0,ticino,73.0,infrastructure,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G705,0.0,0,ticino,73.0,infrastructure,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G919,0.0,0,ticino,73.0,infrastructure,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G178,0.0,0,ticino,73.0,food and drink,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G93,0.0,0,ticino,73.0,infrastructure,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G24,0.0,0,ticino,73.0,food and drink,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G78,0.0,0,ticino,73.0,plastic pieces,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G122,0.0,0,ticino,73.0,micro plastics (< 5mm),Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G915,0.0,0,ticino,73.0,personal items,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G146,0.0,0,ticino,73.0,packaging non food,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G922,0.0,0,ticino,73.0,packaging non food,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G208,0.0,0,ticino,73.0,unclassified,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G941,0.0,0,ticino,73.0,packaging non food,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G74,0.0,0,ticino,73.0,infrastructure,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G142,0.0,0,ticino,73.0,recreation,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G198,0.0,0,ticino,73.0,infrastructure,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G931,0.0,0,ticino,73.0,infrastructure,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G25,0.0,0,ticino,73.0,tobacco,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G33,0.0,0,ticino,73.0,food and drink,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G87,0.0,0,ticino,73.0,infrastructure,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G124,0.0,0,ticino,73.0,unclassified,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G916,0.0,0,ticino,73.0,personal items,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G936,0.0,0,ticino,73.0,agriculture,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G703,0.0,0,ticino,73.0,infrastructure,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G707,0.0,0,ticino,73.0,recreation,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G139,0.0,0,ticino,73.0,personal items,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G152,0.0,0,ticino,73.0,tobacco,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G75,0.0,0,ticino,73.0,plastic pieces,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G20,0.0,0,ticino,73.0,packaging non food,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G905,0.0,0,ticino,73.0,personal items,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G704,0.0,0,ticino,73.0,infrastructure,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G711,0.0,0,ticino,73.0,recreation,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G191,0.0,0,ticino,73.0,agriculture,Gambarogno,l,Ticino
"('pacha-mama-gerra', '2020-08-10')",2020-08-10,lago-maggiore,pacha-mama-gerra,G934,0.0,0,ticino,73.0,agriculture,Gambarogno,l,Ticino
