slug,latitude,longitude,country,feature_type,display_feature_name,city_slug,feature_name,city,parent_boundary,canton
aabach,47.220989,8.940365,CH,l,Zürichsee,schmerikon,zurichsee,Schmerikon,linth,St. Gallen
aare-limmatspitz,47.50106,8.237371,CH,r,Aare,gebenstorf,aare,Gebenstorf,aare,Aargau
aare-port,47.11617,7.26955,CH,r,Nidau-Büren-Kanal,port,aarenidau-buren-kanal,Port,aare,Bern
aare-solothurn-lido-strand,47.196949,7.521643,CH,r,Aare,solothurn,aare,Solothurn,aare,Solothurn
aare_bern_caveltin,46.9235788,7.4733191,CH,r,Aare,muri-bei-bern,aare,Muri bei Bern,aare,Bern
aare_bern_gerberm,46.9893631,7.4520977,CH,r,Aare,bern,aare,Bern,aare,Bern
aare_bern_scheurerk,46.9709672,7.4525857,CH,r,Aare,bern,aare,Bern,aare,Bern
aare_brugg_buchie,47.4948553,8.2365581,CH,r,Aare,brugg,aare,Brugg,aare,Aargau
aare_elfenau_cataldiv,46.9310201,7.4629605,CH,r,Aare,bern,aare,Bern,aare,Bern
aare_kehrsatz_stolten,46.9235719,7.4883011,CH,r,Aare,belp,aare,Belp,aare,Bern
aare_koniz_hoppej,46.9345885,7.4581703,CH,r,Aare,koniz,aare,Köniz,aare,Bern
aare_post,47.116665,7.271953,CH,r,Nidau-Büren-Kanal,port,aarenidau-buren-kanal,Port,aare,Bern
aare_rupperswil_badert,47.410309,8.1125537,CH,r,Aare,rupperswil,aare,Rupperswil,aare,Aargau
aare_solothurn_nguyena,47.1977495,7.5242247,CH,r,Aare,solothurn,aare,Solothurn,aare,Solothurn
aare_suhrespitz_badert,47.4056692,8.066018,CH,r,Aare,aarau,aare,Aarau,aare,Aargau
aarezufluss_bern_scheurerk,46.9710097,7.4527897,CH,r,Aare,bern,aare,Bern,aare,Bern
anarchy-beach,46.447216,6.859612,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,La Tour-de-Peilz,rhone,Vaud
arabie,46.462099,6.834972,CH,l,Lac Léman,vevey,lac-leman,Vevey,rhone,Vaud
arve_carouge_battistellak,46.1784912,6.1543187,CH,r,Arve,veyrier,arve,Veyrier,rhone,Genève
ascona-traghetto-spiaggia,46.153882,8.76848,CH,l,Lago Maggiore,ascona,lago-maggiore,Ascona,ticino,Ticino
augustmutzenbergstrandweg,46.68664,7.68976,CH,l,Thunersee,spiez,thunersee,Spiez,aare,Bern
baby-plage-geneva,46.208558,6.162923,CH,l,Lac Léman,geneve,lac-leman,Genève,rhone,Genève
baby-plage-ii-geneve,46.20894,6.16433,CH,l,Lac Léman,geneve,lac-leman,Genève,rhone,Genève
bain-des-dames,46.4505068,6.8580918,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,La Tour-de-Peilz,rhone,Vaud
baye-de-clarens,46.439787,6.888903,CH,l,Lac Léman,montreux,lac-leman,Montreux,rhone,Vaud
baye-de-montreux-d,46.430962,6.908673,CH,l,Lac Léman,montreux,lac-leman,Montreux,rhone,Vaud
baye-de-montreux-g,46.430834,6.908778,CH,l,Lac Léman,montreux,lac-leman,Montreux,rhone,Vaud
beich,47.048495,7.200528,CH,r,Aare,walperswil,aare,Walperswil,aare,Bern
bern-fahrstrasse,46.975866,7.44421,CH,r,Aare,bern,aare,Bern,aare,Bern
bern-tiergarten,46.9331574,7.4520041,CH,r,Aare,bern,aare,Bern,aare,Bern
bielersee_vinelz_fankhausers,47.0383984,7.1083114,CH,l,Bielersee,vinelz,bielersee,Vinelz,aare,Bern
birs_basel_grunern,47.5511276,7.6221988,CH,r,Birs,basel,birs,Basel,aare,Basel-Landschaft
birs_basel_laderachs,47.5460497,7.6225981,CH,r,Birs,basel,birs,Basel,aare,Basel-Landschaft
birs_reinach_dinuccin,47.5036817,7.6070085,CH,r,Birs,reinach,birs,Reinach (BL),aare,Basel-Landschaft
birskopfli-rusco,47.5577429,7.6172916,CH,r,Birs,birsfelden,birs,Birsfelden,aare,Basel-Stadt
bodensee_altenrhein_caluoria,47.4865069,9.5439664,CH,l,Bodensee,thal,bodensee,Thal,rhine,St. Gallen
bodensee_arbon_moslis,47.5208887,9.431144,CH,l,Bodensee,arbon,bodensee,Arbon,rhine,Thurgau
bodensee_horn_huberm,47.4982757,9.4569782,CH,l,Bodensee,horn,bodensee,Horn,rhine,Thurgau
bodensee_steinach_dolder_a,47.5062992,9.4361714,CH,l,Bodensee,steinach,bodensee,Steinach,rhine,St. Gallen
bodensee_thal_schlachterj_1,47.4862163,9.5439099,CH,l,Bodensee,thal,bodensee,Thal,rhine,St. Gallen
boiron,46.4910297,6.4801618,CH,l,Lac Léman,tolochenaz,lac-leman,Tolochenaz,rhone,Vaud
brugg-be-buren-bsg-standort,47.12222,7.28141,CH,r,Nidau-Büren-Kanal,brugg,aarenidau-buren-kanal,Brügg,aare,Bern
camp-des-peches,47.052812,7.074053,CH,l,Bielersee,le-landeron,bielersee,Le Landeron,aare,Neuchâtel
camping-gwatt-strand,46.72714,7.62962,CH,l,Thunersee,thun,thunersee,Thun,aare,Bern
canale-saleggi,46.2006245,9.015853,CH,r,Ticino,bellinzona,ticino,Bellinzona,ticino,Ticino
caprino,45.9879627,8.9862407,CH,l,Lago di Lugano,caprino,lago-di-lugano,Lugano,ticino,Ticino
chriesbach_duebendorf_schneidera,47.4029195,8.6051458,CH,r,Chriesbach,dubendorf,chriesbach,Dübendorf,rhine,Zürich
cabanes-des-diablerets,46.338604,7.215525,CH,p,Alpes Vaudoises,ormont-dessus,alpes-vaudoises,Ormont-Dessus,les-alpes,Vaud
crans-montana,46.334214,7.479386,CH,p,Alpes Valaisannes,lens,alpes-valaisannes,Lens,les-alpes,Valais
les-crosets,46.183591,6.832916,CH,p,Alpes Valaisannes,les-crosets,alpes-valaisannes,Val-d'Illiez,les-alpes,Valais
morgins,46.236681,6.858132,CH,p,Alpes Valaisannes,morgins,alpes-valaisannes,Troistorrents,les-alpes,Valais
nendaz,46.162099,7.283486,CH,p,Alpes Valaisannes,nendaz,alpes-valaisannes,Nendaz,les-alpes,Valais
verbier,46.103981,7.22476,CH,p,Alpes Valaisannes,val-de-bagnes,alpes-valaisannes,Val de Bagnes,les-alpes,Valais
veysonnaz,46.180334,7.366005,CH,p,Alpes Valaisannes,nendaz,alpes-valaisannes,Nendaz,les-alpes,Valais
airolo,46.514257,8.607884,CH,p,Alpes Lépontines,airolo,alpes-lepontines,Airolo,les-alpes,Ticino
andermatt,46.618327,8.598803,CH,p,Alpes Uranaises,andermatt,alpes-uranaises,Andermatt,les-alpes,Uri
charmey,46.622641,7.189341,CH,p,Préalpes Fribourgeoises,val-de-charmey,prealpes-fribourgeoises,Val-de-Charmey,les-alpes,Fribourg
grindelwald,46.658523,8.065323,CH,p,Alpes Bernoises,grindelwald,alpes-bernoises,Grindelwald,les-alpes,Bern
la-berra,46.677399,7.178738,CH,p,Préalpes Fribourgeoises,la-roche,prealpes-fribourgeoises,La Roche,les-alpes,Fribourg
la-robella,46.875905,6.548577,CH,p,Massif du Jura,val-de-travers,massif-du-jura,Val-de-Travers,les-alpes,Neuchâtel
la-tzoumaz,46.144287,7.232897,CH,p,Alpes Valaisannes,riddes,alpes-valaisannes,Riddes,les-alpes,Valais
