index,code,material,en,source,parent_code,single_use,groupname,fr,de,it
0,G708,metal,Batons de ski,Usagers,G199,False,recreation,Batons de ski,Skistöcke,bastoni da sci.
1,G712,cloth,Gants de ski,Usagers,G135,False,recreation,Gants de ski,Skihandschuhe,Guanti da sci.
2,G902,cloth,"Mask medical, cloth",Personal hygiene,G145,False,personal items,"Masque médical, tissu réutilisable","Medizinische Masken, Stoff","Mascherina medica, in tessuto."
3,G917,glass,Terracotta balls,Utility items,G210,False,unclassified,Boules de terre cuite,Blähton,Palle di terracotta.
4,G921,glass,Ceramic tile and pieces,Construction,G204,False,infrastructure,Carreaux et pièces de céramique,Keramikfliesen und Bruchstücke,Piastrelle e pezzi in ceramica.
5,G705,metal,Screws and bolts,Domaine skiable,G197,False,infrastructure,Screws and bolts,Schrauben und Bolzen,Viti e bulloni.
6,G906,metal,coffee capsules aluminum,Packaging,G177,True,food and drink,Capsules de café en aluminium,Kaffeekapseln Aluminium,capsule di caffè in alluminio.
7,G918,metal,"Safety pins, paper clips, small metal utility items",Utility items,G198,False,personal items,"Épingles trombones, petits outils métalliques","Sicherheitsnadeln, Büroklammern, kleine Gebrauchsgegenstände aus Metall","Spilli di sicurezza, fermagli per carta, piccoli oggetti metallici utili."
8,G919,metal,"Nails, screws, bolts etc.",Utility items,G197,False,infrastructure,"Clous, vis, boulons, etc.","Nägel, Schrauben, Bolzen usw. ","Chiodi, viti, bulloni ecc."
9,G929,metal,"Electronics and pieces; sensors, headsets etc.",Utility items,G198,False,personal items,"Électronique et pièces ; capteurs, écouteurs","Elektronik und Teile; Sensoren, Headsets usw. ",n
10,G945,metal,Razor blades,Personal hygiene,G198,True,personal items,Lames de rasoir,Rasierklingen,Lame da rasoio.
11,G923,paper,"Tissue, toilet paper, napkins, paper towels",Personal hygiene,G158,False,personal items,"Mouchoirs en papier, papier toilette, serviettes de table","Taschentücher, Toilettenpapier, Servietten, Papierhandtücher","Fazzoletti, carta igienica, tovaglioli, asciugamani di carta."
12,G21,plastic,Drink lids,Packaging,Gcaps,False,food and drink,Couvercles de bouteilles,"Getränke-Deckel, Getränkeverschluss",Coperchi per bevande.
13,G22,plastic,"Lids for chemicals, detergents (non-food)",Packaging,Gcaps,False,infrastructure,Couvercles pour produits  non alimentaires,"Deckel für Chemikalien, Reinigungsmittel (Ohne Lebensmittel)","Coperchi per prodotti chimici, detergenti (non alimentari)"
14,G23,plastic,Lids unidentified,Packaging,Gcaps,False,packaging non food,Couvercles non identifiés,unidentifizierte Deckel,Coperchi non identificati.
15,G24,plastic,Lid/cap rings from plastic bottles/containers,Packaging,Gcaps,True,food and drink,Anneaux de fermeture de récipients en plastique,Ringe von Plastikflaschen/Behältern,Anelli di coperchio/tappo da bottiglie/contenitori di plastica.
16,G700,plastic,The results from a clean up event,undefined,G700,True,unclassified,Les résultats d'un événement,Die Ergebnisse einer Aufräumaktion,I risultati di un evento di pulizia.
17,G703,plastic,piquet de ballisage,domaine skiable,G124,False,infrastructure,Piquet de ballisage en plastique,Pistenmarkierungspfosten (Plastik),paletto di segnalazione.
18,G704,plastic,Brosse de télésiège,Domaine skiable,G124,True,infrastructure,Brosse de télésiège,seilbahnbürsten,Spazzola per seggiovia.
19,G706,plastic,Abonnement de ski,Usagers,G124,False,recreation,Abonnement de ski,Skiabonnement,Abbonamento sci.
20,G707,plastic,étiquette d’équipement de ski,Usagers,G124,False,recreation,"Déchets divers (bois travaillé, pièces métalliques)",Skiausrüstungsetikett,etichetta dell'attrezzatura da sci.
21,G709,plastic,"Batons de ski parties (rondelles, attaches)",Usagers,G124,False,recreation,"Batons de ski parties (rondelles, attaches)",Teller von Skistock (runder Teil aus Plastik unten am Skistock),"Bastoni da sci parti (dischi, attacchi)."
22,G710,plastic,"Ski / Snowboards (ski, fixations et autres pièces)",Usagers,G79,False,recreation,"Ski / Snowboards (ski, fixations et autres pièces)","Ski / Snowboards (Ski, Befestigungen und andere Teile)",n
23,G711,plastic,Chaufferette,Usagers,G124,True,recreation,Chaufferette,Handwärmer ,scaldino
24,G713,plastic,Carpet from ski lift,Domaine skiable,G124,False,infrastructure,Carpet from ski lift,Skiförderband,Tappeto dalla seggiovia.
25,G75,plastic,Plastic/polystyrene pcs 0.5 - 2.5 cm,Undefined,Gfrags,False,plastic pieces,Plastique/polystyrène pièces 0 - 2.5 cm,"Objekte aus Kunststoff/Polystyrol 0,5 - 2,5 cm",n
26,G76,plastic,Plastic/foamed polystyrene 2.5 > < 50,Undefined,Gfrags,False,plastic pieces,"Plastique/polystyrène expansé 2,5 > < 50","Objekte aus Kunststoff/Polystyrol 2,5 - 50 cm","Polistirene plastico/espanso 2,5 > < 50."
